,Unnamed: 0,gal,name,overtone,logP,B_mag,V_mag,I_mag,J_mag,H_mag,K_mag,BPmag,Gmag,RPmag,gplx,IRSB,EBV,E(BP-RP),DR3Name,RA_ICRS,DE_ICRS,QLT,RUWE,[Fe/H],Mb_1,Mv_1,Mi_1,Mj_1,Mh_1,Mk_1,Wvi_1,Wjk_1,Radius_IRSB,Teq,Mass,mu,rd
73,78,MW,UNor,0,1.101875,10.841,9.247,7.352,5.931,5.237,4.991,9.551569,8.493722,7.443438,10.894666037511602,10.408,0.857,1.3007,Gaia DR3 5884368498528237952,235.58714333319,-55.31194067495,2,0.984,-0.16,-3.194,-3.932,-4.739,-5.285,-5.672,-5.747,-5.994,-6.064,69.0,5273.0,4.0,-0.05333396248840039,-0.0003385915287547059
74,79,MW,RSOri,0,0.878917,9.376,8.414,7.253,6.489,6.018,5.917,8.788838,8.193092,7.443338,11.001908401272402,11.328,0.352,0.5525,Gaia DR3 3368698813404804352,95.55497028344,14.67812664531,4,1.119,-0.1611,-3.442,-4.052,-4.766,-5.171,-5.516,-5.546,-5.875,-5.805,59.9,5687.0,5.6,-0.04609159872759783,-0.00047672596563946845
75,80,MW,TXCyg,0,1.167607,11.363,9.489,7.228,5.462,4.637,4.372,9.865825,8.521427,7.313939,10.297969519686204,10.316,1.13,,Gaia DR3 2161786374436607616,315.02658089008,42.59755012053,3,0.952,,-3.734,-4.481,-5.307,-5.92,-6.34,-6.378,-6.594,-6.694,94.1,5161.0,6.4,-0.038030480313796744,-0.0009976614359430425
76,81,MW,ZLac,0,1.036854,9.514,8.414,7.148,6.346,5.827,5.693,8.862301,8.185639,7.358641,11.32206851288647,11.209,0.37,,Gaia DR3 2007201567928631296,340.21724149798,56.82945573799,2,1.055,,-3.261,-3.989,-4.788,-5.212,-5.598,-5.659,-6.026,-5.966,64.5,5464.0,4.1,-0.06693148711352848,0.0006920416581834843
77,82,MW,AQPup,0,1.478624,10.081,8.705,7.14,6.102,5.483,5.299,9.253232,8.315241,7.369619,12.415260552745409,12.544,0.518,0.6648,Gaia DR3 5597379741549105280,119.59202293226,-29.13008221932,2,1.18,0.3209,-4.655,-5.519,-6.422,-6.93,-7.364,-7.444,-7.832,-7.797,152.7,5147.0,7.3,-0.08873944725459104,0.0006952911860959032
78,83,MW,STTau,0,0.605768,9.066,8.219,7.138,6.352,5.898,5.788,8.609181,8.051365,7.311717,10.141118674761303,10.249,0.368,0.6637,Gaia DR3 3346584610911570176,86.26316893008,13.57635184119,3,1.351,-0.3466,-2.74,-3.22,-3.834,-4.244,-4.566,-4.602,-4.788,-4.849,38.1,5853.0,4.7,-0.02788132523869713,0.00033755654339828745
79,84,MW,XVul,0,0.800689,10.28,8.835,7.137,6.021,5.426,5.255,9.223192,8.322478,7.346799,10.238056595920463,9.606,0.742,,Gaia DR3 2027263738133623168,299.36918285728,26.5564491634,5,1.059,,-2.466,-3.168,-3.926,-4.285,-4.614,-4.636,-5.103,-4.878,38.7,5756.0,2.7,-0.007943404079535199,-0.0026412604605307033
80,85,MW,SVMon,0,1.182801,9.31,8.256,7.133,6.345,5.826,5.726,8.755854,8.132302,7.330363,11.493701472036832,11.364,0.234,0.4102,Gaia DR3 3324153371114695680,95.35960712119,6.47015262948,3,1.006,-0.1313,-3.044,-3.864,-4.691,-5.24,-5.675,-5.728,-5.973,-6.063,69.1,5209.0,3.1,-0.0702985279631676,0.0009196577754930768
81,86,MW,RYCMa,0,0.670099,8.953,8.108,7.119,6.455,6.045,5.936,8.449467,7.938902,7.227898,10.327899676023286,10.844,0.239,0.3669,Gaia DR3 3046774762417915136,109.1568033685,-11.48729732864,5,1.29,-0.1008,-2.902,-3.509,-4.195,-4.615,-4.938,-5.0,-5.26,-5.266,46.4,5708.0,5.9,-0.056100323976714606,0.000805814338686317
82,87,MW,XPup,0,1.414321,9.702,8.507,7.107,6.18,5.6,5.431,9.122233,8.347651,7.425146,11.818070902897958,12.192,0.421,,Gaia DR3 5620098679741674496,113.19596459365,-20.90968216106,2,1.038,,-4.271,-5.05,-5.911,-6.409,-6.838,-6.923,-7.256,-7.276,120.5,5188.0,5.3,-0.11392909710204435,0.0026386566066040062
